family,pH,dH,temp
Cyprinid,7.127140003407994,18.13851299454319,70.97813331643142
Poeciliid,7.932513885615881,16.420696161947888,78.34681706239631
Rainbow,6.805901144013253,12.12202162119179,81.60180811624855
Cyprinid,6.397457859982748,4.529042445077412,74.92865338677544
Pleco,6.892469049917676,9.129358823738396,75.74498157109751
Cyprinid,7.024191732476218,7.015593577370398,77.04768823685403
Rainbow,6.681905160504715,4.6862290545493135,80.83395381698362
Rainbow,7.017247829877029,12.72785101825042,77.0474922609731
Poeciliid,7.913639883245578,10.589304015960533,74.62847826255799
Loach,6.328999576260513,5.739582211596115,77.39464637556357
Poeciliid,7.283004263759615,16.3389687152138,75.58690598190934
Loach,6.106312121228747,10.381576352172782,84.08210076343829
Pleco,6.273848836836757,5.211351171758217,80.2460442946634
Cyprinid,7.040125433190366,4.936289638613073,79.41040812894317
Loach,5.397205572547763,9.17116302552978,77.03087200192448
Pleco,6.902850758738175,3.584762026309327,80.4087428448638
Loach,7.17793864576527,8.959165613241854,81.2963479715541
Pleco,6.802461589608693,9.48641263554609,75.41017664106529
Rainbow,6.936657599301977,7.728495682185069,78.42644180641115
Poeciliid,7.392327291191982,18.32796778641968,79.66502306511443
Loach,6.505833784119588,5.928660202290001,81.6464983971799
Cyprinid,7.249964066080657,11.00540598576756,75.0666661140328
Loach,6.528540398223873,9.215474170239672,80.04279626626918
Cyprinid,7.501639819660723,13.040397089125008,78.97134898675937
Loach,6.471002165419352,10.539051488028878,84.65030026372354
Pleco,6.521142743200952,6.84381454522087,81.93696088587156
Rainbow,7.176794449925912,5.062497091445028,76.65661163403425
Loach,5.832503410784511,8.650804978929028,85.97314850485829
Rainbow,6.747495754084991,8.925727177798429,82.6126052375271
Cyprinid,6.627627186682274,16.007477693636943,80.06348828370241
Rainbow,6.820304572021493,15.427756097017015,83.78122133672782
Pleco,6.04361191120469,3.0127187480085507,76.21429098554306
Rainbow,7.17975715891936,10.038308492230495,79.77281715344493
Poeciliid,7.772753814392516,11.089511761034268,76.72437382183399
Poeciliid,8.037640304781375,18.82615203851112,76.400763998181
Pleco,6.929045525403804,11.57316114047078,82.80985287383366
Loach,6.673362721724971,11.104981514227733,82.95835999317896
Loach,7.11255067365979,10.081209681602465,82.07121148712187
Rainbow,6.597194257401676,8.612722201490694,80.74906330177193
Poeciliid,7.727092854528433,8.305336755173442,76.40059514728522
Poeciliid,7.745396213087215,19.82592532348003,74.18560099125838
Poeciliid,7.142935576796355,15.423105156063263,72.40050906349822
Loach,6.0645535380004585,11.119867086209672,74.87283659569763
Cyprinid,7.01331808740169,17.261423025310325,67.7271316401599
Rainbow,7.153941552926516,11.61857719359766,83.12030753061808
